Task,GraspType,Object,Reponses,Instruction
Hold,MediumWrap,Coin,0,How would you hold a coin?
Hold,Tripod,Coin,5,How would you hold a coin?
Hold,Writing,Coin,14,How would you hold a coin?
Hold,Lateral,Comb,4,How would you hold a comb?
Hold,MediumWrap,Comb,0,How would you hold a comb?
Hold,Tripod,Comb,6,How would you hold a comb?
Hold,Writing,Comb,9,How would you hold a comb?
Hold,Lateral,Compact disk,2,How would you hold a compact disk?
Hold,MediumWrap,Compact disk,0,How would you hold a compact disk?
Hold,Tripod,Compact disk,7,How would you hold a compact disk?
Hold,Writing,Compact disk,11,How would you hold a compact disk?
Hold,Lateral,Credit card,0,How would you hold a credit card?
Hold,MediumWrap,Credit card,1,How would you hold a credit card?
Hold,Tripod,Credit card,0,How would you hold a credit card?
Hold,Writing,Credit card,18,How would you hold a credit card?
Hold,Lateral,Cucumber,9,How would you hold a cucumber?
Hold,MediumWrap,Cucumber,6,How would you hold a cucumber?
Hold,Tripod,Cucumber,3,How would you hold a cucumber?
Hold,Writing,Cucumber,2,How would you hold a cucumber?
Hold,Lateral,Cup,0,How would you hold a cup?
Hold,MediumWrap,Cup,20,How would you hold a cup?
Hold,Tripod,Cup,0,How would you hold a cup?
Hold,Writing,Cup,0,How would you hold a cup?
Hold,Lateral,Dice,5,How would you hold a dice?
Hold,MediumWrap,Dice,0,How would you hold a dice?
Hold,Tripod,Dice,10,How would you hold a dice?
Hold,Writing,Dice,5,How would you hold a dice?
Hold,Lateral,Donut,1,How would you hold a donut?
Hold,MediumWrap,Donut,12,How would you hold a donut?
Hold,Tripod,Donut,6,How would you hold a donut?
Hold,Writing,Donut,1,How would you hold a donut?
Hold,Lateral,Earring,0,How would you hold an earring?
Hold,MediumWrap,Earring,0,How would you hold an earring?
Hold,Tripod,Earring,1,How would you hold an earring?
Hold,Writing,Earring,19,How would you hold an earring?
Hold,Lateral,Egg,0,How would you hold an egg?
Hold,MediumWrap,Egg,9,How would you hold an egg?
Hold,Tripod,Egg,11,How would you hold an egg?
Hold,Writing,Egg,0,How would you hold an egg?
Hold,Lateral,Envelope,2,How would you hold an envelope?
Hold,MediumWrap,Envelope,2,How would you hold an envelope?
Hold,Tripod,Envelope,1,How would you hold an envelope?
Hold,Writing,Envelope,15,How would you hold an envelope?
Hold,Lateral,Flashlight,9,How would you hold a flashlight?
Hold,MediumWrap,Flashlight,11,How would you hold a flashlight?
Hold,Tripod,Flashlight,0,How would you hold a flashlight?
Hold,Writing,Flashlight,0,How would you hold a flashlight?
Hold,Lateral,Flask,3,How would you hold a flask?
Hold,MediumWrap,Flask,16,How would you hold a flask?
Hold,Tripod,Flask,1,How would you hold a flask?
Hold,Writing,Flask,0,How would you hold a flask?
Hold,Lateral,Fork,5,How would you hold a fork?
Hold,MediumWrap,Fork,1,How would you hold a fork?
Hold,Tripod,Fork,2,How would you hold a fork?
Hold,Writing,Fork,12,How would you hold a fork?
Hold,Lateral,Fountain pen,1,How would you hold a fountain pen?
Hold,MediumWrap,Fountain pen,0,How would you hold a fountain pen?
Hold,Tripod,Fountain pen,0,How would you hold a fountain pen?
Hold,Writing,Fountain pen,19,How would you hold a fountain pen?
Hold,Lateral,Frisbee,5,How would you hold a frisbee?
Hold,MediumWrap,Frisbee,5,How would you hold a frisbee?
Hold,Tripod,Frisbee,4,How would you hold a frisbee?
Hold,Writing,Frisbee,6,How would you hold a frisbee?
Hold,Lateral,Gel pen,1,How would you hold a gel pen?
Hold,MediumWrap,Gel pen,0,How would you hold a gel pen?
Hold,Tripod,Gel pen,0,How would you hold a gel pen?
Hold,Writing,Gel pen,19,How would you hold a gel pen?
Hold,Lateral,Glasses,1,How would you hold glasses?
Hold,MediumWrap,Glasses,0,How would you hold glasses?
Hold,Tripod,Glasses,6,How would you hold glasses?
Hold,Writing,Glasses,13,How would you hold glasses?
Hold,Lateral,Glue stick,5,How would you hold a glue stick?
Hold,MediumWrap,Glue stick,5,How would you hold a glue stick?
Hold,Tripod,Glue stick,7,How would you hold a glue stick?
Hold,Writing,Glue stick,3,How would you hold a glue stick?
Hold,Lateral,Golf ball,1,How would you hold a golf ball?
Hold,MediumWrap,Golf ball,13,How would you hold a golf ball?
Hold,Tripod,Golf ball,6,How would you hold a golf ball?
Hold,Writing,Golf ball,0,How would you hold a golf ball?
Hold,Lateral,Hairbrush,15,How would you hold a hairbrush?
Hold,MediumWrap,Hairbrush,1,How would you hold a hairbrush?
Hold,Tripod,Hairbrush,2,How would you hold a hairbrush?
Hold,Writing,Hairbrush,2,How would you hold a hairbrush?
Hold,Lateral,Hammer,15,How would you hold a hammer?
Hold,MediumWrap,Hammer,3,How would you hold a hammer?
Hold,Tripod,Hammer,1,How would you hold a hammer?
Hold,Writing,Hammer,0,How would you hold a hammer?
Hold,Lateral,Handfan,6,How would you hold a handfan?
Hold,MediumWrap,Handfan,6,How would you hold a handfan?
Hold,Tripod,Handfan,2,How would you hold a handfan?
Hold,Writing,Handfan,6,How would you hold a handfan?
Hold,Lateral,Jar,0,How would you hold a jar?
Hold,MediumWrap,Jar,18,How would you hold a jar?
Hold,Tripod,Jar,0,How would you hold a jar?
Hold,Writing,Jar,0,How would you hold a jar?
Hold,Lateral,Jug,8,How would you hold a jug?
Hold,MediumWrap,Jug,12,How would you hold a jug?
Hold,Tripod,Jug,0,How would you hold a jug?
Hold,Writing,Jug,0,How would you hold a jug?
Hold,Lateral,Key,2,How would you hold a key?
Hold,MediumWrap,Key,0,How would you hold a key?
